OTU ID	SRR6286327	SRR6286328	SRR6286329	SRR6286330	SRR6286331	SRR6286332	SRR6286333	SRR6286334	SRR6286335	SRR6286336	SRR6286337	SRR6286338	SRR6286339	SRR6286340	SRR6286341	SRR6286342	SRR6286343	SRR6286344	SRR6286345	SRR6286346	SRR6286347	SRR6286348	SRR6286349	SRR6286350
Asv281	140	50	31	27	22	102	24	80	111	57	68	74	93	51	11	14	35	20	98	19	57	236	66	145
Asv2810	0	0	0	18	29	0	30	0	0	0	0	0	0	1	7	8	9	13	0	12	0	0	0	0
Asv2811	8	6	1	0	1	7	0	2	3	2	5	7	5	2	0	0	0	1	3	1	5	11	3	10
Asv2812	0	29	15	15	20	3	16	1	0	13	1	27	2	15	12	8	11	18	33	20	26	2	23	2
Asv2813	17	0	0	0	0	7	0	8	30	3	9	1	15	0	0	0	0	0	0	0	1	15	3	9
Asv2814	13	15	7	4	1	6	1	3	1	9	1	12	7	10	1	2	1	2	9	1	16	11	4	10
Asv2815	0	7	2	17	13	4	11	3	0	1	0	3	1	1	11	10	9	9	5	12	6	3	7	1
Asv2816	3	11	5	0	1	5	0	5	5	3	2	7	4	4	0	1	0	1	2	0	6	11	6	2
Asv2817	2	8	1	8	5	4	0	1	2	8	2	8	3	7	7	2	5	3	4	5	4	10	1	3
Asv2818	1	1	1	6	9	0	12	0	0	1	0	4	0	2	7	5	13	7	1	12	2	0	2	0
Asv2819	0	0	0	1	0	0	6	0	0	11	1	12	0	7	0	1	8	8	17	5	0	0	1	0
Asv282	114	111	65	24	41	128	15	74	99	83	62	94	113	83	20	19	12	10	96	14	132	172	139	86
Asv2820	0	2	0	18	14	0	10	0	0	0	0	0	0	1	9	11	8	11	0	8	1	0	0	0
Asv2821	5	2	3	0	0	5	0	2	10	9	1	5	6	5	1	0	0	1	15	2	14	24	13	19
Asv2822	0	11	1	3	3	1	3	0	0	4	0	5	0	4	1	3	0	5	6	6	9	0	6	0
Asv2823	5	4	5	0	0	3	0	0	3	5	1	5	4	4	0	0	0	0	12	0	12	7	10	2
Asv2824	0	6	8	1	0	1	2	4	3	14	3	14	4	9	0	1	2	3	19	3	16	6	7	0
Asv2825	0	6	2	10	13	0	4	0	0	3	1	2	1	2	11	14	3	11	0	3	2	1	3	0
Asv2826	0	0	3	10	10	0	10	0	0	2	1	1	1	1	4	9	7	19	3	10	1	1	3	0
Asv2827	0	0	0	18	19	0	7	0	0	0	0	0	0	0	14	3	6	8	0	5	0	0	0	0
Asv2828	3	6	4	1	1	1	1	4	4	6	2	5	6	7	0	2	2	4	6	0	6	8	5	0
Asv2829	0	1	0	7	3	0	10	0	0	2	0	4	0	2	2	10	13	16	1	6	0	0	0	0
Asv283	53	95	52	0	0	53	1	71	116	142	49	195	96	124	0	0	0	1	232	2	143	127	122	76
Asv2830	0	5	2	10	8	0	3	0	0	0	0	0	0	0	4	5	11	15	2	8	0	0	2	0
Asv2831	8	16	6	4	8	9	1	4	14	19	5	17	3	11	1	2	3	2	16	1	23	10	20	8
Asv2832	0	11	2	1	0	0	1	2	0	13	0	21	0	13	0	0	0	0	25	1	7	0	8	0
Asv2833	12	3	1	0	0	8	0	5	29	0	9	0	17	0	0	0	0	0	1	0	5	10	0	12
Asv2834	2	1	1	6	6	4	8	2	12	0	2	3	10	6	0	2	15	6	3	6	3	3	2	4
Asv2835	11	1	2	3	5	3	3	3	7	0	2	2	3	2	5	4	2	4	4	1	0	11	2	8
