ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
Asv1406	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae			
Asv1413	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			
Asv1412	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1414	Bacteria	Cyanobacteria						
Asv1417	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1416	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1418	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			
Asv1419	Bacteria	Actinobacteria	Actinobacteria					
Asv1420	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv1415	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			
Asv1421	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1422	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1423	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		
Asv1425	Bacteria	Actinobacteria	Actinobacteria					
Asv1426	Bacteria	Actinobacteria	Actinobacteria					
Asv1427	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1428	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			
Asv1429	Bacteria	Actinobacteria	Actinobacteria					
Asv1424	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1431	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1430	Bacteria	Proteobacteria						
Asv1432	Bacteria	Proteobacteria						
Asv1434	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1435	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales				
Asv1436	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1433	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1437	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1438	Bacteria	Bacteroidetes						
Asv1439	Bacteria	Actinobacteria	Actinobacteria					
Asv1441	Bacteria	Bacteroidetes						
Asv1442	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycineae	Streptomycetaceae	Streptomyces	
Asv1443	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1444	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1445	Bacteria	Actinobacteria	Actinobacteria					
Asv1446	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1440	Bacteria							
Asv1447	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1448	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae			
Asv1449	Bacteria	Actinobacteria						
Asv1451	Bacteria	Actinobacteria	Actinobacteria					
Asv1452	Bacteria	Actinobacteria	Actinobacteria					
Asv1453	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacterineae	Mycobacteriaceae	Mycobacterium	
Asv1454	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacterineae	Mycobacteriaceae	Mycobacterium	
Asv1450	Bacteria	Actinobacteria	Actinobacteria					
Asv1455	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			
Asv1456	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1457	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales				
Asv1459	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			
Asv1460	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1462	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae			
Asv1458	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			
Asv1463	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv1461	Bacteria							
Asv1464	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacterineae	Mycobacteriaceae	Mycobacterium	
Asv1467	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacterineae	Mycobacteriaceae	Mycobacterium	
Asv1465	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1470	Bacteria	Actinobacteria	Actinobacteria					
Asv1469	Bacteria	Actinobacteria	Acidimicrobiia					
Asv1468	Bacteria	Proteobacteria						
Asv1466	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter		
Asv1471	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1472	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales				
Asv1473	Bacteria	Actinobacteria	Actinobacteria					
Asv1475	Bacteria	Cyanobacteria						
Asv1476	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1477	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1478	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1479	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1480	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Prolixibacteraceae			
Asv1474	Bacteria	Bacteroidetes						
Asv1481	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1482	Bacteria	Actinobacteria	Actinobacteria					
Asv1483	Bacteria	Cyanobacteria						
Asv1485	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter		
Asv1486	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae				
Asv1487	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		
Asv1488	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales				
Asv1484	Bacteria							
Asv1489	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae				
Asv1490	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1491	Bacteria	Actinobacteria	Actinobacteria					
Asv1492	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1495	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			
Asv1494	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales				
Asv1496	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1493	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1497	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv1498	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1499	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1502	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1501	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae				
Asv1503	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			
Asv1504	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1506	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1505	Bacteria							
Asv1500	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales			
Asv1507	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1508	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1509	Bacteria	Cyanobacteria						
Asv1511	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae			
Asv1513	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
