ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
Asv2	Bacteria	Actinobacteria	Actinobacteria					
Asv1	Bacteria	Actinobacteria	Actinobacteria					
Asv3	Bacteria	Actinobacteria	Actinobacteria					
Asv4	Bacteria	Actinobacteria	Actinobacteria					
Asv7	Bacteria	Actinobacteria	Actinobacteria					
Asv8	Bacteria	Actinobacteria	Actinobacteria					
Asv6	Bacteria	Actinobacteria	Actinobacteria					
Asv9	Bacteria	Actinobacteria	Actinobacteria					
Asv5	Bacteria	Actinobacteria	Actinobacteria					
Asv10	Bacteria	Actinobacteria	Actinobacteria					
Asv11	Bacteria	Actinobacteria	Actinobacteria					
Asv12	Bacteria	Actinobacteria	Actinobacteria					
Asv14	Bacteria	Actinobacteria	Actinobacteria					
Asv15	Bacteria	Actinobacteria	Actinobacteria					
Asv17	Bacteria	Actinobacteria	Actinobacteria					
Asv18	Bacteria	Actinobacteria	Actinobacteria					
Asv19	Bacteria	Actinobacteria	Actinobacteria					
Asv20	Bacteria	Actinobacteria	Actinobacteria					
Asv13	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv21	Bacteria	Actinobacteria	Actinobacteria					
Asv16	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv22	Bacteria	Actinobacteria	Actinobacteria					
Asv24	Bacteria	Actinobacteria	Actinobacteria					
Asv25	Bacteria	Actinobacteria	Actinobacteria					
Asv26	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv27	Bacteria	Actinobacteria	Actinobacteria					
Asv28	Bacteria	Actinobacteria	Actinobacteria					
Asv23	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv29	Bacteria	Actinobacteria	Actinobacteria					
Asv31	Bacteria	Actinobacteria	Actinobacteria					
Asv34	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv30	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv35	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv33	Bacteria	Actinobacteria						
Asv38	Bacteria	Actinobacteria	Actinobacteria					
Asv37	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv39	Bacteria	Actinobacteria						
Asv40	Bacteria	Actinobacteria	Actinobacteria					
Asv41	Bacteria	Actinobacteria	Actinobacteria					
Asv36	Bacteria	Actinobacteria	Actinobacteria					
Asv42	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv43	Bacteria	Actinobacteria	Actinobacteria					
Asv46	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv44	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv47	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv48	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv45	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv49	Bacteria	Actinobacteria	Actinobacteria					
Asv50	Bacteria	Actinobacteria	Actinobacteria					
Asv52	Bacteria	Actinobacteria	Actinobacteria					
Asv51	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv54	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv55	Bacteria	Actinobacteria	Actinobacteria					
Asv56	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv53	Bacteria	Actinobacteria	Actinobacteria					
Asv57	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv58	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv59	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv61	Bacteria	Actinobacteria						
Asv62	Bacteria	Actinobacteria						
Asv63	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv60	Bacteria	Actinobacteria	Actinobacteria					
Asv64	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv66	Bacteria	Actinobacteria	Actinobacteria					
Asv65	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv68	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv69	Bacteria	Actinobacteria	Actinobacteria					
Asv70	Bacteria	Actinobacteria						
Asv71	Bacteria	Actinobacteria	Actinobacteria					
Asv72	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv67	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv73	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv75	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv74	Bacteria	Actinobacteria						
Asv77	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv78	Bacteria	Actinobacteria	Actinobacteria					
Asv79	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv80	Bacteria	Actinobacteria	Actinobacteria					
Asv76	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv81	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv83	Bacteria	Actinobacteria						
Asv82	Bacteria	Actinobacteria						
Asv85	Bacteria	Actinobacteria						
Asv86	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv87	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv88	Bacteria	Actinobacteria						
Asv84	Bacteria	Actinobacteria						
Asv89	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv90	Bacteria	Actinobacteria	Actinobacteria					
Asv91	Bacteria	Actinobacteria	Actinobacteria					
Asv93	Bacteria	Actinobacteria	Actinobacteria					
Asv95	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv96	Bacteria	Actinobacteria	Actinobacteria					
Asv92	Bacteria	Actinobacteria						
Asv97	Bacteria	Actinobacteria	Actinobacteria					
Asv98	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv94	Bacteria	Cyanobacteria						
Asv100	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv101	Bacteria	Actinobacteria	Actinobacteria					
Asv102	Bacteria	Actinobacteria	Actinobacteria					
Asv103	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv104	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv99	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv105	Bacteria	Actinobacteria						
Asv107	Bacteria	Actinobacteria	Actinobacteria					
Asv108	Bacteria	Cyanobacteria						
Asv106	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv110	Bacteria	Actinobacteria	Actinobacteria					
Asv111	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv109	Bacteria	Actinobacteria						
Asv112	Bacteria	Actinobacteria	Actinobacteria					
Asv113	Bacteria	Actinobacteria	Actinobacteria					
Asv114	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv115	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv118	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv116	Bacteria	Actinobacteria	Actinobacteria					
Asv119	Bacteria	Actinobacteria	Actinobacteria					
Asv120	Bacteria	Actinobacteria	Actinobacteria					
Asv117	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv122	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv123	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv125	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv121	Bacteria	Actinobacteria						
Asv124	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv126	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv127	Bacteria	Actinobacteria						
Asv129	Bacteria	Actinobacteria	Actinobacteria					
Asv130	Bacteria	Actinobacteria	Actinobacteria					
Asv132	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv131	Bacteria	Actinobacteria	Actinobacteria					
Asv133	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv128	Bacteria	Actinobacteria						
Asv134	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv135	Bacteria	Actinobacteria						
Asv136	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv138	Bacteria	Actinobacteria						
Asv139	Bacteria	Actinobacteria	Actinobacteria					
Asv137	Bacteria	Actinobacteria						
Asv142	Bacteria	Actinobacteria						
Asv141	Bacteria	Cyanobacteria						
Asv140	Bacteria	Cyanobacteria						
Asv144	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv143	Bacteria	Actinobacteria	Actinobacteria					
Asv146	Bacteria	Actinobacteria	Actinobacteria					
Asv145	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv147	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv149	Bacteria	Actinobacteria	Actinobacteria					
Asv150	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv151	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv152	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv148	Bacteria	Cyanobacteria						
Asv153	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv154	Bacteria	Actinobacteria						
Asv155	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv157	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv158	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv156	Bacteria	Actinobacteria	Actinobacteria					
Asv159	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv160	Bacteria	Actinobacteria	Actinobacteria					
Asv161	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv163	Bacteria	Cyanobacteria						
Asv164	Bacteria	Actinobacteria						
Asv165	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv166	Bacteria	Cyanobacteria						
Asv167	Bacteria	Cyanobacteria						
Asv168	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv162	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv169	Bacteria	Actinobacteria	Actinobacteria					
Asv170	Bacteria	Actinobacteria						
Asv171	Bacteria	Actinobacteria						
Asv173	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv174	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv172	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv175	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv177	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv176	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv179	Bacteria	Actinobacteria						
Asv180	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv181	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv182	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv183	Bacteria	Cyanobacteria						
Asv178	Bacteria	Cyanobacteria						
Asv184	Bacteria	Actinobacteria	Actinobacteria					
Asv185	Bacteria	Actinobacteria						
Asv186	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv187	Bacteria	Cyanobacteria						
Asv189	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv190	Bacteria	Cyanobacteria						
Asv191	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv188	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv192	Bacteria	Actinobacteria	Actinobacteria					
Asv193	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv194	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv195	Bacteria	Cyanobacteria						
Asv197	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv198	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv199	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv200	Bacteria	Actinobacteria	Actinobacteria					
Asv196	Bacteria	Cyanobacteria						
Asv201	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv202	Bacteria	Actinobacteria						
Asv203	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv204	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv206	Bacteria	Actinobacteria						
Asv207	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv209	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv205	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv210	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv208	Bacteria	Actinobacteria	Actinobacteria					
Asv211	Bacteria	Cyanobacteria						
Asv213	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv214	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv215	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv216	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv217	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv212	Bacteria	Actinobacteria						
Asv218	Bacteria	Actinobacteria	Actinobacteria					
Asv219	Bacteria	Cyanobacteria						
Asv220	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv222	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv223	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv224	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv221	Bacteria	Actinobacteria						
Asv225	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv226	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv227	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv228	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv230	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv231	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv229	Bacteria	Cyanobacteria						
Asv233	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv232	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv234	Bacteria	Actinobacteria	Actinobacteria					
Asv236	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv238	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv237	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv239	Bacteria	Cyanobacteria						
Asv240	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv241	Bacteria	Cyanobacteria						
Asv235	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv242	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv244	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv243	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv246	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv247	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv248	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv249	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv245	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv250	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv251	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv252	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv254	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv255	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv256	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv257	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv253	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv258	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv259	Bacteria	Cyanobacteria						
Asv260	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv262	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv263	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv264	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv265	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv266	Bacteria	Actinobacteria						
Asv261	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv267	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv268	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv269	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv271	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv272	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv273	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv270	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv274	Bacteria	Cyanobacteria						
Asv275	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv276	Bacteria	Cyanobacteria						
Asv277	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv279	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv280	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv281	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv283	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv278	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv282	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			
Asv284	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv285	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv287	Bacteria	Actinobacteria						
Asv288	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv290	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv289	Bacteria	Actinobacteria	Actinobacteria					
Asv286	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv291	Bacteria	Cyanobacteria						
Asv292	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv293	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			
Asv295	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv296	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv297	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv299	Bacteria	Actinobacteria						
Asv300	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv298	Bacteria	Cyanobacteria						
Asv294	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv301	Bacteria	Actinobacteria						
Asv302	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv303	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv305	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv306	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv307	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv304	Bacteria	Cyanobacteria						
Asv308	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv310	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv309	Bacteria	Actinobacteria	Actinobacteria					
Asv312	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv314	Bacteria	Cyanobacteria						
Asv313	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv315	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv311	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv317	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv316	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv318	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv320	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv321	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv322	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv323	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv324	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv319	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv326	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv327	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv325	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv329	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv330	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv331	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv332	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv328	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv333	Bacteria	Actinobacteria	Actinobacteria					
Asv334	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv336	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv337	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv338	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv339	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv335	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			
Asv340	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv341	Bacteria	Actinobacteria						
Asv342	Bacteria	Actinobacteria	Actinobacteria					
Asv343	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv345	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv346	Bacteria	Actinobacteria	Actinobacteria					
Asv347	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv344	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv348	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv349	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv350	Bacteria	Actinobacteria	Actinobacteria					
Asv351	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv353	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv354	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			
Asv355	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv356	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
